[ 0.  0.  0.],[-3.42180027 -7.772151    0.        ],[-16.31572268 -57.34255841   0.        ],[-0.17152053  3.99608471  0.        ],[ 1807.10969618],[ 1807.10969618],32.8220629125
[ 0.  0.  0.],[-8.60803884 -3.01506455  0.        ],[-94.93367342   8.89774184   0.        ],[ 10.65103926  -4.92042653   0.        ],[ 1858.23933753],[ 1858.23933753],50.5455755806
[ 0.  0.  0.],[-5.3219312   4.23555412  0.        ],[-94.12737913  48.56005054   0.        ],[ 13.78155174  -5.5892037    0.        ],[ 1833.9669057],[ 1833.9669057],56.6523689878
[ 0.  0.  0.],[-5.61879651 -2.69990101  0.        ],[-50.42712885 -18.64488887   0.        ],[ 4.75897075  1.09642998  0.        ],[ 1707.58291847],[ 1707.58291847],29.2940377621
[ 0.  0.  0.],[-2.55037166  5.16345108  0.        ],[ 35.23862041   3.49710603   0.        ],[-9.87011425  4.59054443  0.        ],[ 1870.59807626],[ 1870.59807626],19.8104408511
[ 0.  0.  0.],[-5.11943475  2.75241136  0.        ],[-17.45479568  13.6310279    0.        ],[-1.92843678  0.03103281  0.        ],[ 1679.9888425],[ 1679.9888425],9.58560108715
[ 0.  0.  0.],[-6.95349151 -2.80275981  0.        ],[-36.9274295  -23.21631544   0.        ],[ 0.50054601  2.13256607  0.        ],[ 1724.10292064],[ 1724.10292064],24.6577412988
[ 0.  0.  0.],[-6.7696027  -4.63521373  0.        ],[-32.79176119 -31.50574446   0.        ],[-0.24899004  1.9635519   0.        ],[ 1724.10292064],[ 1724.10292064],25.5832776175
[ 0.  0.  0.],[ 8.440909   -0.63012927  0.        ],[ 61.07189901 -45.14887953   0.        ],[-3.89640759  8.6733007   0.        ],[ 1777.38189006],[ 1777.38189006],40.1747341938
[ 0.  0.  0.],[ 0.77151598  5.14938503  0.        ],[ 25.87777975  55.64625488   0.        ],[-4.58194268 -6.22142469  0.        ],[ 1696.44214774],[ 1696.44214774],33.1871747092
[ 0.  0.  0.],[ 3.25009019  4.71389172  0.        ],[ 11.75130509  49.12572773   0.        ],[ 0.95184386 -5.4067102   0.        ],[ 1694.76272631],[ 1694.76272631],28.1280877529
[ 0.  0.  0.],[-7.58262559  5.11072797  0.        ],[-59.83752387  41.59724432   0.        ],[ 4.62698111 -3.3858837   0.        ],[ 1725.4266213],[ 1725.4266213],39.3540328923
[ 0.  0.  0.],[ 1.49193159 -8.35568123  0.        ],[-27.73292791  -8.74332247   0.        ],[ 7.25724794 -6.81233808  0.        ],[ 1851.60026459],[ 1851.60026459],13.620723631
[ 0.  0.  0.],[ 5.21695956 -6.26067116  0.        ],[-17.25395232 -19.08077904   0.        ],[ 8.95648697 -2.52594617  0.        ],[ 1793.86113697],[ 1793.86113697],13.0018252229
[ 0.  0.  0.],[ 3.84118215 -4.84200902  0.        ],[ 40.93778845 -52.53243033   0.        ],[-4.52900052  5.9024857   0.        ],[ 1691.08009786],[ 1691.08009786],36.1174814839
[ 0.  0.  0.],[-7.93583464 -1.68221202  0.        ],[-24.93731911 -41.85872402   0.        ],[-3.06936348  6.96405196  0.        ],[ 1782.32033534],[ 1782.32033534],27.2571660978
[ 0.  0.  0.],[ 3.23830388  4.54518456  0.        ],[-20.31799138  49.94729034   0.        ],[ 7.54240954 -5.62359499  0.        ],[ 1719.22234236],[ 1719.22234236],30.8916124073
[ 0.  0.  0.],[-3.0660908   5.50833009  0.        ],[-47.15739306  41.89280392   0.        ],[ 6.63887083 -2.99354752  0.        ],[ 1722.71353372],[ 1722.71353372],34.6069325743
[ 0.  0.  0.],[ 3.51662016  4.10295582  0.        ],[ 32.0570196   59.94196463   0.        ],[-2.99816897 -8.16706007  0.        ],[ 1827.12868556],[ 1827.12868556],37.0774849864
[ 0.  0.  0.],[ 2.06368342 -5.61525863  0.        ],[  5.2521076  -22.09444426   0.        ],[ 1.20715038 -1.42529609  0.        ],[ 1698.31414366],[ 1698.31414366],9.8623428249
[ 0.  0.  0.],[ 1.75312284 -7.32485061  0.        ],[-44.77724489  -9.14225427   0.        ],[ 10.97546822  -5.63338995   0.        ],[ 1865.44631385],[ 1865.44631385],22.3043189799
[ 0.  0.  0.],[ 5.03539118 -7.78542978  0.        ],[ 50.25471711 -26.45764482   0.        ],[-5.284177   -2.62747005  0.        ],[ 1835.62222996],[ 1835.62222996],31.5489157385
[ 0.  0.  0.],[-5.49908959 -3.56341965  0.        ],[-40.41842638 -30.41934997   0.        ],[ 2.79937622  2.72990039  0.        ],[ 1712.58550573],[ 1712.58550573],27.961482208
[ 0.  0.  0.],[ 2.35807111 -6.5790873   0.        ],[ -0.56276932 -81.26018222   0.        ],[ 2.54486635  9.96361772  0.        ],[ 1821.76464542],[ 1821.76464542],43.3906408966
[ 0.  0.  0.],[ 0.63600203 -9.22720464  0.        ],[-10.52855693 -90.60561164   0.        ],[ 2.83009003  9.18060493  0.        ],[ 1872.04224865],[ 1872.04224865],48.651090758
[ 0.  0.  0.],[-5.50618877 -2.16757628  0.        ],[-30.12694822 -39.22671626   0.        ],[ 0.54652026  5.97652047  0.        ],[ 1732.77680337],[ 1732.77680337],27.6696480405
[ 0.  0.  0.],[ 6.18557442  0.53798904  0.        ],[ 78.29871617  41.95690404   0.        ],[-9.70513496 -8.04484578  0.        ],[ 1872.41945235],[ 1872.41945235],47.9419615857
[ 0.  0.  0.],[ 1.19885887 -6.78741245  0.        ],[-54.0526847   -9.16248205   0.        ],[ 12.28671892  -5.06933585   0.        ],[ 1837.18393388],[ 1837.18393388],28.0724033802
[ 0.  0.  0.],[ 6.830172  -4.6639058  0.       ],[ 31.40114844 -67.21289967   0.        ],[ 0.56869912  9.0780872   0.        ],[ 1817.44619737],[ 1817.44619737],39.2762288951
[ 0.  0.  0.],[ 8.07544698  1.20720571  0.        ],[ 31.17820699  27.41583526   0.        ],[ 1.95837603 -4.55153538  0.        ],[ 1697.72345677],[ 1697.72345677],23.5332290112
[ 0.  0.  0.],[-0.43602943  6.52778852  0.        ],[ 18.59966496  18.3081238    0.        ],[-4.40292673  3.03648295  0.        ],[ 1708.5487957],[ 1708.5487957],12.9614137912
